Thumbnail URL;Reel Link;Content;Date;Video Views;Reach;Likes;Comments;Engagement;Video View time (Seconds);Avg. time watched (Seconds)
"https://scontent-lhr8-1.xx.fbcdn.net/v/t51.82787-10/503639955_18361066348146657_1584556736267242025_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=109&ccb=1-7&_nc_sid=200999&_nc_ohc=-eh4gWuIGsIQ7kNvwG-7jEB&_nc_oc=Adlm5cLHhSP362oRNXTwAQ5fEToNbq7QEoAq3r1b1Q-aNkr6c7bz_6LJnn2QipnAk5Q&_nc_zt=23&_nc_ht=scontent-lhr8-1.xx&edm=ADk9D8YEAAAA&_nc_gid=mp9AKrzro2w2NdI7WxwY-g&oh=00_AfXRDa6Jod1v2D9TxfF12MhMIKWWU65uf16JWuELyaMFfA&oe=6898B444";"https://www.facebook.com/reel/3108451292656883/";"¿Qué es techo?
TECHO es protección.
TECHO es una comunidad.
TECHO es amor, comienzo y futuro.

Porque un techo no es solo una parte física de una casa. Es dignidad, salud, identidad y oportunidad.

Este mes celebramos un hito que nos emociona y nos impulsa:
¡Alcanzaremos la cifra de 150.000 viviendas construidas en Latinoamérica y el Caribe! 150 mil hogares donde niños y niñas dejaron de dormir con miedo y de estudiar bajo goteras.

Y este es solo el comienzo.
Porqué techo no es solo parte de una casa.
Es todo lo que empieza cuando uno deja de vivir en un piso de tierra.

🌎 Sumate a lo que viene → comentá ""Voluntariado"" y te contactamos! 

#Vivienda150mil  #Queestecho #NadieViveEnUnPisoDeTierra";2025-07-03 12:45;789;866;9;5;"1.62";"5263.77";"6.67"
"https://scontent-lhr6-2.xx.fbcdn.net/v/t15.5256-10/510403649_1866779930564903_8917311486159939839_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=104&ccb=1-7&_nc_sid=200999&_nc_ohc=Q2lx8-Pz-coQ7kNvwG-knpS&_nc_oc=AdknKRxyPClaHXkKZzKPLbbEuRt2v358_Hsfwzf-t5JELrfAxJiEU1zac2ME6J6hOls&_nc_zt=23&_nc_ht=scontent-lhr6-2.xx&edm=ADk9D8YEAAAA&_nc_gid=mp9AKrzro2w2NdI7WxwY-g&oh=00_AfXpDkxpDGq5_OmIu99AF7kYvIkx8mTjUGGHgZtE0yJiqA&oe=689897D2";"https://www.facebook.com/reel/713148038141398/";"La música no solo se escucha. Se siente, nos atraviesa, nos une y transforma la realidad.
Vos también podes sumarte a construir la Argentina que queremos. Comentá ""Voluntariado"" y te mandamos el link de inscripción!

La realidad está cantada. Escuchala y activá.

#LaRealidadEstáCantada #TECHO #Voluntariado";2025-06-24 17:02;738;764;7;4;"1.44";"3414.88";"4.63"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t15.5256-10/504535824_1328472398239132_3022239779983887204_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=110&ccb=1-7&_nc_sid=810293&_nc_ohc=EtglTfT4MU0Q7kNvwHR7NeV&_nc_oc=AdmLnUqYa1BjZaX4Zh_zSh3nkKItqlkfllLJjU5DgjNA_jodlTAuGXQoy3kGCwcfJ2g&_nc_zt=23&_nc_ht=scontent-lhr8-1.xx&edm=ADk9D8YEAAAA&_nc_gid=mp9AKrzro2w2NdI7WxwY-g&oh=00_AfWz9njQvXZ-SzYtSoo6fWZ_vrEArBq-M0nWY4NgRO4FVw&oe=6898BA90";"https://www.facebook.com/reel/699672259346807/";"Dejá tu predicción del partido y asociate a TECHO ⚽🇦🇷😎 #ARGvsCHI";2025-06-05 17:16;617;689;6;1;"1.02";"2141.53";"3.47"
"https://scontent-lhr6-2.xx.fbcdn.net/v/t15.5256-10/500577640_1927352261338005_8467243352750662470_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=100&ccb=1-7&_nc_sid=810293&_nc_ohc=ESnDKYmEn-AQ7kNvwFNyZ9T&_nc_oc=Adn68CZTrJQ5VIo6l8-6GSE-WfBgcWAaTZYqPCRP8iREpOHeLkzHZLnqm4hZFvkwjcs&_nc_zt=23&_nc_ht=scontent-lhr6-2.xx&edm=ADk9D8YEAAAA&_nc_gid=mp9AKrzro2w2NdI7WxwY-g&oh=00_AfUv2L876bUynQGy0xPhNEwr2X_4PXlRtb_F-hgBc9UyjQ&oe=689899D2";"https://www.facebook.com/reel/1749556295629492/";"Un equipo listo para salir a la cancha a construir una Argentina donde nadie viva en un piso de tierra 🏡

Sumate a nuestra comunidad de socios y socias desde el link en nuestra bio 🫱🏼‍🫲🏽💙";2025-05-22 16:57;2506;2556;23;6;"1.13";"10738.69";"4.29"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t15.5256-10/497561414_2314473002708831_3844865599553209844_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=108&ccb=1-7&_nc_sid=810293&_nc_ohc=GNZizyBigGkQ7kNvwFOT-3b&_nc_oc=AdmGbtv6PE5vmPPLSMoVO2bfBTIkUfEFxhVo-j1-ySBdR6POVL8jKAWqUHdkVQASkr8&_nc_zt=23&_nc_ht=scontent-lhr8-1.xx&edm=ADk9D8YEAAAA&_nc_gid=mp9AKrzro2w2NdI7WxwY-g&oh=00_AfWU1LN37b1YCAyMoo75mrrwYfzA5DzKB-pCyjj4xzTjoQ&oe=6898C255";"https://www.facebook.com/reel/1229140348885148/";"Con $10.000 podes asociarte a TECHO y cambiar la realidad de una familia 💙";2025-05-14 17:09;1926;2036;10;5;"0.74";"17693.01";"9.19"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t15.5256-10/496057687_1067165655334277_3253045283283411171_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=110&ccb=1-7&_nc_sid=810293&_nc_ohc=1_xPcUgoj7UQ7kNvwGIRYgr&_nc_oc=AdnkuA3U45oZg9eRgS5sXX6Nq4rtNpczOoDBHHUe5wtnvS77Q1QVKvtAc9ScuWzbrh8&_nc_zt=23&_nc_ht=scontent-lhr8-1.xx&edm=ADk9D8YEAAAA&_nc_gid=mp9AKrzro2w2NdI7WxwY-g&oh=00_AfWsVl7kBdwiviAfRbOEnNvc3blds3ncaL7f43uDccCh1w&oe=68989EA6";"https://www.facebook.com/reel/665933596407958/";"Detrás de cada uno de nosotros hay una historia para contar 💙

Gracias a Manu y a su mamá por compartir sus ""buenísimos"", por su tiempo y por poner el cuerpo a esta causa.

Si vos también querés sumarte podes hacerlo desde actividades.techo.org/argentina o donando mensualmente como socio/a en argentina.techo.org/hazte-socio-a 🫱🏼‍🫲🏽";2025-05-09 10:07;2197;2132;45;10;"2.58";"23957.17";"10.9"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t15.5256-10/491678222_1623869501617953_5617999198829697843_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=109&ccb=1-7&_nc_sid=810293&_nc_ohc=RL_MgivrsAUQ7kNvwFPuYkc&_nc_oc=AdmZdMTHBtgB8CaQO1TwSE8ShKxLH5q1FFUDrybAJDnWn5eyTHt-evGLAaS57v3inyI&_nc_zt=23&_nc_ht=scontent-lhr8-1.xx&edm=ADk9D8YEAAAA&_nc_gid=mp9AKrzro2w2NdI7WxwY-g&oh=00_AfXsVNqYqH-fQFycy0tyA1y4BX4IwzPonj4fLwKSHd34CA&oe=68989FD9";"https://www.facebook.com/reel/1153302773216291/";"Si estás en Buenos Aires ya tenés listo tu plan para este finde.
Nos vemos ahí? 💙";2025-05-06 16:38;951;1073;6;1;"0.65";"4394.18";"4.62"
"https://scontent-lhr8-2.xx.fbcdn.net/v/t15.5256-10/492019026_543322202148543_6007416227443029397_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=101&ccb=1-7&_nc_sid=810293&_nc_ohc=iv2nti-amEcQ7kNvwEkhn0R&_nc_oc=AdkGjnpbdQDs9NE1FlQO3sPWOLvdIfGrzEcUKxY4GGWF48AJZRwpouIcZ8drMvweFE0&_nc_zt=23&_nc_ht=scontent-lhr8-2.xx&edm=ADk9D8YEAAAA&_nc_gid=mp9AKrzro2w2NdI7WxwY-g&oh=00_AfW4vAmk4tsOFLP3uycyGtRdML-egWwdZTEa_65GtY6Iuw&oe=6898947F";"https://www.facebook.com/reel/654071217475602/";"Desafío activado💡 Queremos lograr 1.100 socios y socias para construir 1.000 viviendas este 2025 ✅

Asociate a TECHO y construí con nosotros todos los días 🏡";2025-04-22 17:34;1135;1184;17;8;"2.11";"6745.53";"5.94"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t15.5256-10/469726659_971782354763241_4601400531452856445_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=110&ccb=1-7&_nc_sid=810293&_nc_ohc=mZFpn-R9v7YQ7kNvwFsY68Z&_nc_oc=Adkms1S0eksAneAuhuVMR-2c4MLyhzoKeMb8w9GLjV9pYciP3qky-CXjirVN8Zz3hJE&_nc_zt=23&_nc_ht=scontent-lhr8-1.xx&edm=ADk9D8YEAAAA&_nc_gid=mp9AKrzro2w2NdI7WxwY-g&oh=00_AfXzu-eap7SCyPjpXqLBzFOYj5wIhTM-U92weT1oFDzfSg&oe=6898B5AE";"https://www.facebook.com/reel/595691902928912/";"Nuestros amigos de @asuntosdelsur crearon la Red Argentina de Juventudes, porque la participación es un derecho que a veces nos olvidamos de ejercer 😶‍🌫️

Te invitamos a hacer, porque cuando las juventudes participamos, transformamos el mundo que habitamos. El futuro es nuestro, pero el presente, también!

¿Se te ocurre alguna herramienta más? Dejanos en comentarios 👇🏼";2024-12-10 16:04;1466;1910;14;5;"0.99";"8248.92";"5.63"
"https://scontent-lhr8-2.xx.fbcdn.net/v/t15.5256-10/464732103_1188714772196129_8486626607880041382_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=101&ccb=1-7&_nc_sid=810293&_nc_ohc=INM1jFJtRgkQ7kNvwE6iLrr&_nc_oc=AdnhwMJz80gH4EZqfleBwm5099NmKS4-JSZ-hRCuOBsGficxXWFXMu3e90f9VuBMmqQ&_nc_zt=23&_nc_ht=scontent-lhr8-2.xx&edm=ADk9D8YEAAAA&_nc_gid=mp9AKrzro2w2NdI7WxwY-g&oh=00_AfXrAiboTYMIytoT1k-SfHFXKlPSjV12kVJkd-UmUbv7Yg&oe=6898A6D3";"https://www.facebook.com/reel/416605714828408/";"Si todos nos ponemos la camiseta podemos construir un futuro mejor 🇦🇷
#TECHOArgentina #LeyISU #IntegracionSociourbana #BarriosPopulares #RENABAP";2024-10-29 15:54;2340;2749;26;9;"1.27";"13828.64";"5.91"
"https://scontent-lhr6-2.xx.fbcdn.net/v/t15.5256-10/463304048_1637343547188319_3103244987070124408_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=102&ccb=1-7&_nc_sid=810293&_nc_ohc=Z22GGRikLJAQ7kNvwG1z7Ay&_nc_oc=AdlFFGmKiYvkEmTgBBlqiQ_qE8cl1QEWwCfVORVZSo3NewZzdqDcRSQ8WkpEjsHUrK4&_nc_zt=23&_nc_ht=scontent-lhr6-2.xx&edm=ADk9D8YEAAAA&_nc_gid=mp9AKrzro2w2NdI7WxwY-g&oh=00_AfVrwd9OxSem6iaK0MLW0mlwnWCAk1OMPAQLH4FowivChQ&oe=68989DA4";"https://www.facebook.com/reel/930997785537904/";"🟢 Nuevo desafío activado

Ya tenemos 546 viviendas construidas ✅ y gracias a empresas, gobiernos, socios/as, municipios, secundarios y universidades tenemos 385 financiadas ✅

Nos faltan 70 para lograr nuestro objetivo de construir 1.001, nos ayudas? 💙

Comentá ""Quiero donar"" y te enviamos el link o sumá tu donación en cafecito.app/techoargentina (link en bio)";2024-10-16 14:38;1966;2525;19;10;"1.15";"13900.94";"7.07"
"https://scontent-lhr8-2.xx.fbcdn.net/v/t15.5256-10/462295998_1176630210073501_4187028568511780997_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=106&ccb=1-7&_nc_sid=810293&_nc_ohc=QhjIl-XGsJ8Q7kNvwFlY80L&_nc_oc=AdkRN6qs4lad31svYI6bgRBAJ7KCWAGt6pouOLy6HvSMZou7WVMS29BIyjVTdgArHl4&_nc_zt=23&_nc_ht=scontent-lhr8-2.xx&edm=ADk9D8YEAAAA&_nc_gid=mp9AKrzro2w2NdI7WxwY-g&oh=00_AfWNpXtKNaxBjB0jGMPCaJWx1ZkbinNnyiyPA0R7-lUxlw&oe=689895C9";"https://www.facebook.com/reel/1721388978664294/";"⚽ Integración socio urbana para nivelar la cancha 🏘

Hace 6 años, con apoyo mayoritario del Congreso se sancionó la Ley 27.453. Más de 1.5 millones de personas vieron su vida transformada por obras en barrios populares.

Hoy, sin el financiamiento necesario, su continuidad está en riesgo.

🤝 Para que juguemos todos, necesitamos seguir integrando.

@fundarpoliticas @caritasargentina @techo_argentina

#IntegraciónUrbana #Ley27453 #RENABAP";2024-10-10 15:07;3318;4196;19;4;"0.55";"12796.57";"3.86"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t15.5256-10/459793680_547800214474558_24280372247683632_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=110&ccb=1-7&_nc_sid=810293&_nc_ohc=qNFSyLFaLEgQ7kNvwFb9nKP&_nc_oc=Adm05B4wdomWss0pJfsp_-WU_ylEk00qZjV01iuVKAQoA_jFQJrqse2sO5arP3cAsg0&_nc_zt=23&_nc_ht=scontent-lhr8-1.xx&edm=ADk9D8YEAAAA&_nc_gid=mp9AKrzro2w2NdI7WxwY-g&oh=00_AfUgfdyYMeFgK3ypTLnhLapGWepYSu4Q-iWd2gY6t3SXzg&oe=6898BD3F";"https://www.facebook.com/reel/880540334175383/";"⚠️ #Córdoba está en riesgo extremo de #incendios forestales.

Los eventos climáticos extremos son cada vez más frecuentes y nos afectan a todos. Aunque la mayoría de los incendios son iniciados por humanos, el cambio climático acelera y agrava el avance del fuego.

Podemos ser parte de la solución. Actuemos juntos.
Te dejamos algunas organizaciones con las que podés colaborar 👇
@Brigada.Forestal.colibri
@sacha.brigada.sms
@brigadachiviquin
@jovenesporelclima.cba

📷 Imágenes de @incendioscordoba";2024-10-02 09:55;972;1803;0;1;"0.06";"3372.01";"3.47"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t51.29350-10/453901445_1157750342109337_389708455866201989_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=111&ccb=1-7&_nc_sid=d46aa9&_nc_ohc=63mw5tcSc0YQ7kNvwE99CeA&_nc_oc=Adlc3gELnAAFjKRPiCiNpsYsERqWZdpBAFDpt2w56vomJ5_9KIXjnCuOnQO0PwvzXFA&_nc_zt=23&_nc_ht=scontent-lhr8-1.xx&edm=ADk9D8YEAAAA&_nc_gid=mp9AKrzro2w2NdI7WxwY-g&oh=00_AfUfbb06j7Azo2JJeCc3tbTpVb_dPLPj7ytXU0DNlWRMZg&oe=68989AE5";"https://www.facebook.com/reel/503243822116726/";"Vos también podes ser parte de esta transformación 💙

Demostremos el poder del hacer y el potencial de hacer grandes cosas cuando unimos fuerzas. Porque ser argentino es estar ahí, dándolo todo. 

Sumate como voluntario en bit.ly/voluntariadoenTECHO 🇦🇷

#argentinidad #voluntariado #techo #elpoderdelhacer";2024-08-07 13:06;2885;3264;85;15;"3.06";"40744.55";"14.13"
