Id;type;image;URL;Content;Timestamp;Views (Organic);Impressions (Paid);Reach (Organic);Reach (Paid);Likes;Saved;Comments;Shares;Interactions;Engagement;Posts clicks (Paid);Post Interactions (Paid);Spend
"3679442727351108903_4362698656";"FEED_CAROUSEL_ALBUM";"https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/521298448_18362739445146657_458615223703009387_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ccb=1-7&_nc_sid=18de74&_nc_ohc=xCvYaV_u7mgQ7kNvwE0mD4p&_nc_oc=Adm1TVYBe3ZsqzIB_9XNXOJSqXQIhfL13iU16mo_pAoO-NsLUMVz_5ORYi9hbpIEoSk&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfXD4fbaQpuYod8Da-mVcQTn2AtsZKdg622vcWsTlMQ1YA&oe=689A159B";"https://www.instagram.com/p/DMQAap_KEUn/";"HOY CUMPLIMOS 28 AÑOS DE HISTORIA @techo_org 

Este es el recorrido que nos llevó a construir 150 mil viviendas.
675 mil personas ya no duermen en un piso de tierra.

En 1997 comenzamos con un sueño: un grupo de jóvenes se reunió para construir viviendas de emergencia para familias afectadas por un gran temporal en Curanilahue, Chile.

Así empezamos. Una familia a la vez. Casa por casa. Barrio por barrio. Empezamos sin saber cómo hacerlo, pero lo descubrimos trabajando codo a codo con las comunidades para generar un cambio real.

En estos 28 años vimos pasar a millones de personas. Personas que dejaron su amor, su esfuerzo y su convicción, unidas por un mismo sueño, en 18 países de América Latina.

🇦🇷 En 22 años de TECHO Argentina 18.588 familias viven en un espacio más digno y seguro. 

Y seguimos. Porque nuestro sueño para 2030 está más vivo que nunca:
lograr que un millón de personas en Latinoamérica y el Caribe dejen de dormir en un piso de tierra.";2025-07-18 10:02;"9610";;"2630";;"188";"6";"2";"6";202;"7.68";;;
"3678946594187367742_4362698656";"FEED_CAROUSEL_ALBUM";"https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/520779741_18362667943146657_8386588566127169123_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=Eip0p6o4LHoQ7kNvwF76a8l&_nc_oc=AdnjG7gruVv6KMAMRhtdq3Ri5qFLyfhRcaVUG6PIZDGAX42Ha1tkS2jPZH6HgYx0XWA&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfXlzDytDUwbrE7FPD__raNQbgy2bbMtJZRyuneKBz1xGA&oe=6899E9AF";"https://www.instagram.com/p/DMOPm9-K9U-/";"Este año seguimos innovando e investigando sobre nuevas materialidades y formas para construir una vivienda que crezca con las familias y sea resiliente al cambio climático. 

👉🏼 Deslizá para ver los cambios y contanos: ¿qué más te gustaría saber sobre este proceso?";2025-07-17 17:37;"11153";;"3583";;"231";"5";"2";"10";248;"6.92";;;
"3675199087212778282_4362698656";"FEED_CAROUSEL_ALBUM";"https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/505437863_18362092075146657_4444631863893414384_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=JvrWDYCFZYwQ7kNvwFLA28C&_nc_oc=Adke-Nb9Luy4BeaXEH8pT8QPLN5Uqu6U5Ih45v70CGYHId3RYVbXSMMhWfHa2jkr-6A&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfVhDFjCbvtuwFWKVsCntvg80mLIe0nsm2uOw7G1nNlAKQ&oe=689A07E1";"https://www.instagram.com/p/DMA7hkIKFMq/";"¡Construimos la vivienda 150.000! 🥺🥳

Este año llegamos a la cifra acumulada de 150.000 viviendas construidas en Latinoamérica y El Caribe. Eso significan más de medio millón de personas que ya no duermen sobre un piso de tierra.

Y este es solo el comienzo. Sumate vos también 💙";2025-07-12 13:31;"25931";;"9638";;"777";"14";"15";"38";844;"8.76";;;
"3674493870880820837_4362698656";"FEED_CAROUSEL_ALBUM";"https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/504821518_18361983979146657_5718044164418770039_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_ohc=YIFq2C_jVmoQ7kNvwGGmWt2&_nc_oc=AdkkvGZffSh1ToRtNpqUqwUFn-gBOA7vg1xDYack7izRT6l24GgwlGQCgDZul2ry5NE&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfU8HB9J6n8ZNpxC0svPsjDBSVxAw-HSvN0ErcpWBp3wxw&oe=6899FA52";"https://www.instagram.com/p/DL-bLUPM45l/";"Animate a ser parte. Sumate como voluntario/a 💙

Comentá ""VOLUNTARIADO"" y te enviamos el link de inscripción.";2025-07-11 14:10;"14660";;"4859";;"297";"24";"13";"25";359;"7.39";;;
"3671530815246504978_4362698656";"FEED_CAROUSEL_ALBUM";"https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/516251740_18361521787146657_6294100103514584352_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ccb=1-7&_nc_sid=18de74&_nc_ohc=Ba2oEF53EeUQ7kNvwGPaW0C&_nc_oc=AdmKZULXOpG8GWJfA2WDc0Jiiyzpe7YV8Sfef0wkdZ6hEROI9YH8lxteewcx8tGfr8s&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfWxIykX4iSPPPTXQkyQs0J2wWwlro-v1Ec76tn9zlPDPg&oe=6899F503";"https://www.instagram.com/p/DLz5dLoqxQS/";"Construimos 150 mil viviendas. Transformamos 675 mil vidas. 

Cuando preguntamos a las familias cómo se sentían antes y después de recibir una vivienda de TECHO la respuesta fue clara:
cambia el descanso, cambia la salud, cambia la vida.

💬 Más del 90% de las personas dice sentirse bien o muy bien en su nueva vivienda.
💤 El 99% duerme mejor en noches de lluvias.
🧠 Disminuyen los niveles de estrés y el uso de medicación por ansiedad y depresión.
🫂 Se fortalecen los lazos comunitarios, la confianza en los liderazgos locales y la sensación de no estar solas.
🏡 Y lo más importante: el 97% de las familias afirma que hoy está mejor que antes.

Para que no haya una persona sin un techo digno,
hoy ya hemos construido 150.000 viviendas
en diferentes comunidades de América Latina y el Caribe.

Y este es solo el comienzo.

* Datos del informe Más allá de un TECHO - TECHO Paraguay (2024).";2025-07-07 12:03;"12577";;"4203";;"197";"13";;"16";226;"5.38";;;
"3671061796428580136_4362698656";"FEED_CAROUSEL_ALBUM";"https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/514518715_18361439863146657_8198831301089724869_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=1-7&_nc_sid=18de74&_nc_ohc=ld2kqAGL3OcQ7kNvwF7gK5D&_nc_oc=AdknabfXZoYlStSvJuzvqigd1oVSmA1NChpku1HMSUPnfy0rXPtgHgGLt5LYkN_OQKI&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfWT0xo1rACy5TLY6nzGBWECXJYUwie98lJrH8haF80a1Q&oe=689A20CF";"https://www.instagram.com/p/DLyO0D0ogUo/";"⛈️ Si cada vez que llueve se te mojan tus cosas, tu cama, tu ropa, la lluvia deja de ser un momento relax.

Más de 5 millones de personas viven en barrios populares con viviendas que no soportan estas condiciones climáticas.

Si esta realidad te incomoda, podes sumarte a construir una mejor. Anotate como voluntario/a en el link de nuestra bio. 

#LaRealidadEstáCantada #TECHO #Voluntariado";2025-07-06 20:31;"14759";;"5238";;"193";"8";;"13";214;"4.09";;;
"3665144708418173914_4362698656";"FEED_IMAGE";"https://scontent-lhr8-2.cdninstagram.com/v/t51.75761-15/513827665_18360524089146657_5051538892995961303_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=yy816u427ZcQ7kNvwG2FHxN&_nc_oc=AdkARmqR1bjNKufqRRI22jdOP1YswcAygaUCXJZ8cQqq3fPCc8La_t-iKAxTpfR0Eak&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfUpzsjN4wguSD3LsEM45ZJeBUQJ-HRwvg5yZ_5KZ5T63g&oe=689A098A";"https://www.instagram.com/p/DLdNbGLqvva/";"✨ Transformar la realidad es posible cuando cada persona puede ser, amar y habitar con orgullo.

En TECHO creemos en el respeto y el cuidado mutuo. En los barrios populares y en cada espacio de voluntariado, buscamos crear entornos seguros donde todas las personas puedan expresarse con libertad y orgullo.

Soñamos con una sociedad donde tengamos las mismas condiciones para vivir con igualdad y dignidad.

🎵 “Soy quien encuentra la libertad, con la fuerza de la verdad. Una historia real. Soy lo que ves.”

🌈 #Orgullo #Diversidad #LGBTIQ+ #DiaDelOrgullo";2025-06-28 16:35;"14248";;"5646";;"195";"2";"2";"13";212;"3.75";;;
"3664381161387873505_4362698656";"FEED_CAROUSEL_ALBUM";"https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/509633731_18360404728146657_7363659584223683548_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=1-7&_nc_sid=18de74&_nc_ohc=sKYz54tbQDwQ7kNvwHLjLN-&_nc_oc=AdkSOSOn87iNdFDLi1QEGI8D4_z7Q7XewRVb1J8ilbRigjU5xR6U9zrU_uRG5dQIj7Y&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfV57hlcCEkWa1iy44fDRjrmhEa5sucBjuPe5SngwZyLHg&oe=6899FE7D";"https://www.instagram.com/p/DLaf0BmKFTh/";"¿Qué canción te mueve a construir otra realidad? ⏯

Agregala a nuestra playlist colaborativa y sumate como voluntario/a desde el link en nuestro perfil. ¡Te esperamos! ⚒️🏡

#LaRealidadEstáCantada #TECHO #Voluntariado";2025-06-27 15:18;"12568";;"2591";;"100";"7";"1";"3";111;"4.28";;;
"3663694597225939657_4362698656";"FEED_CAROUSEL_ALBUM";"https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/505146071_18360293572146657_900135651853450849_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ccb=1-7&_nc_sid=18de74&_nc_ohc=rVRcPMMvXlIQ7kNvwHJTFTh&_nc_oc=Adkzkn__7Uj0XPdKC7ajmyNJgzcgnt5DZEyiJXP6TcBw7MyJ83NgJBE5wbP5oCq4Ka8&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfXJWdzqDpwDUL9ZmZg56siJ13k4QG72Fgv2vutGVyJ3sA&oe=689A166D";"https://www.instagram.com/p/DLYDtM5K4LJ/";"Si tenes ganas de rockearla los findes te proponemos este plan: construir una vivienda de emergencia en 48hs. Vení a vivir la experiencia de cambiar una realidad, comentá ""voluntariado"" y te enviamos el link! 🤘🏼

#LaRealidadEstáCantada #TECHO #Voluntariado #ROCK";2025-06-26 16:34;"16579";;"5270";;"252";"9";"5";"16";282;"5.35";;;
"3663694520856024586_4362698656";"FEED_CAROUSEL_ALBUM";"https://scontent-lhr6-2.cdninstagram.com/v/t51.82787-15/510480793_18360293536146657_1496304075789474772_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ccb=1-7&_nc_sid=18de74&_nc_ohc=f3N3UvrzvTgQ7kNvwEcy6fa&_nc_oc=AdlwXD3HSzPPxZgjqTH4MeE4PfJi7l-PEbVQ3aPBKknsv7tityvwmUEmAVNG6V4v2mk&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfUsI3_ccjwko34kej4Pm5ejnXMgIeV9zz-upiGOydeOHA&oe=689A1C28";"https://www.instagram.com/p/DLYDsFxKxYK/";"Donde están los/as swifties? 💛 Para ponerle más ritmo a los findes tenemos la actividad perfecta para ustedes. 

Si tenes ganas de sumarte comentá ""Voluntariado"" y te enviamos el link de inscripción!

#LaRealidadEstáCantada #Voluntariado #TECHO #POP";2025-06-26 16:34;"15687";;"5204";;"259";"6";"5";"32";302;"5.8";;;
"3663694433941615528_4362698656";"FEED_CAROUSEL_ALBUM";"https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/509721546_18360293521146657_1655384303752818549_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ccb=1-7&_nc_sid=18de74&_nc_ohc=XruYqVGRaEMQ7kNvwH9eIfc&_nc_oc=Adkhqyrxxd5RoMB06Wkl8asJn9nl7PIY_5e9F0mWsqqs2GiXj2XxWXEOy95786dSqBw&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfWsOxhmli8aGHjPevFME0T9VrN1IBQ-moSgyWWqIIiRWA&oe=689A0FE4";"https://www.instagram.com/p/DLYDq00qnOo/";"Si te gusta el indie, esta es la actividad perfecta para vos 💚
Comentá ""Voluntariado"" y te mandamos el link de inscripción!

#LaRealidadEstáCantada #Voluntariado #TECHO";2025-06-26 16:33;"18481";;"6679";;"259";"12";"4";"21";296;"4.43";;;
"3662987233929613904_4362698656";"FEED_CAROUSEL_ALBUM";"https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/510463959_18360184624146657_7194138182329710742_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ccb=1-7&_nc_sid=18de74&_nc_ohc=ya-Uctk0sqcQ7kNvwEdXnNb&_nc_oc=AdnZxLdD9tsXfyinToL0PNB6ssmbynjmilQ4mcE-q_TUya7rWBpYnX3mUFurgP-aoEI&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfXC0kEo-hAUs-Ve5ZE_F1ijOm4cAkKQnWKspvyxHM80Zw&oe=689A19AD";"https://www.instagram.com/p/DLVi3tfKlJQ/";"Se vienen las construcciones de julio 🏡

Podes inscribirte desde nuestra plataforma actividades.techo.org/argentina (link en bio) o consultar con la sede que tengas más cercana 👇🏼

➡️ @comunidadtecho_rosario
➡️ @comunidadtecho_misiones";2025-06-25 17:08;"21334";;"9009";;"498";"16";"13";"25";552;"6.13";;;
"3659148870336211185_4362698656";"FEED_CAROUSEL_ALBUM";"https://scontent-lhr8-2.cdninstagram.com/v/t51.75761-15/504458540_18359584789146657_4629656360821216119_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=D8mPNcKtQb8Q7kNvwH7d1Tr&_nc_oc=Adkxcu-q0SSaQVX6KoqP0eTzfiLTA7yBX0AF1jfLp2WilAR097Pb1Zp4MiPCU7OqOX8&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfUsCg-wiD4fZwrePxUUh3NbVXiZtPBX34j9yvMQVp4_cw&oe=6899F667";"https://www.instagram.com/p/DLH6IK0qWjx/";"La bandera del color de nuestro cielo. Nos une y nos recuerda que el país que soñamos se construye con solidaridad, esfuerzo y compromiso.

Desde TECHO trabajamos todos los días para que ese país sea una realidad: una Argentina sin pobreza, donde nadie viva sobre piso de tierra 🇦🇷";2025-06-20 10:02;"18771";;"7070";;"637";"7";"8";"12";664;"9.39";;;
"3654232877948365894_4362698656";"FEED_IMAGE";"https://scontent-lhr8-1.cdninstagram.com/v/t51.75761-15/504471454_18358823113146657_6521694047281904444_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ccb=1-7&_nc_sid=18de74&_nc_ohc=bcZbFnavTpYQ7kNvwGCS0G0&_nc_oc=AdlWJRFMr6LZw_1qppX0hnx5NVVC-sc6xkYZrRR5BcByG3s3lGk8EJzAWQy60epw93U&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfVuzOdgV9AVlL856q5Hwsm2CASi8F4dFOLiNzsUYFmkgg&oe=689A0727";"https://www.instagram.com/p/DK2cXEIqmxG/";"🏡 ¡Lo logramos!

Sumamos 1053 nuevos socios y socias en todo el país, gracias al compromiso de miles de personas, nuestros aliados y un voluntariado que se movilizó con fuerza y convicción.

Con estos aportes, mejoraremos las condiciones de vida de 27 familias que hoy viven en situación de emergencia habitacional, avanzando hacia nuestro objetivo anual de que 1000 familias dejen de vivir sobre piso de tierra.

Ampliar esta comunidad no solo transforma vidas:
💙 También nos permite planificar mejor y seguir creciendo como organización en todo el país.

Gracias por ser parte. Gracias por creer. Gracias por hacer.

#ElPoderDelHacer #TECHO #ComunidadDeSocios";2025-06-13 15:15;"11410";;"4785";;"313";"10";"8";"10";341;"7.13";;;
"3652029593591378009_4362698656";"FEED_CAROUSEL_ALBUM";"https://scontent-lhr8-1.cdninstagram.com/v/t51.75761-15/504088605_18358448023146657_6490757252973533298_n.webp?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=1-7&_nc_sid=18de74&_nc_ohc=D5iLT0mUwFYQ7kNvwFPYF7_&_nc_oc=AdlmFoSOUnDjHyDxxQ82Y0DQvsR9EZFuFVLSmB2ckyt0CGZ68uNQrWIBzctSQiUKhpM&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfW6325oRGVMMiOA-UESDInMK1bXGhcID1U5ib_LrWvCSw&oe=6899F71A";"https://www.instagram.com/p/DKunZDrOnBZ/";"El equipo más grande de todos 🩵

Unidos y trabajando por una Argentina donde nadie viva en un piso de tierra 🇦🇷 #UnGolxUnTecho

Hacete hincha de TECHO y sumate a participar (link en bio)";2025-06-10 14:17;"19801";;"8316";;"537";"10";"2";"69";618;"7.43";;;
"3647133454899318171_4362698656";"FEED_CAROUSEL_ALBUM";"https://scontent-lhr8-2.cdninstagram.com/v/t39.30808-6/503977355_1146384930868424_3839924074033705881_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=OL2w6CrA1TUQ7kNvwEbUmV-&_nc_oc=AdmmvxuxE87o_w9MfuSpd6rv9QZ09_T6LF9WbIu_zak7OKq0b2y6Py3BCL2tKg-aDSw&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfUVCeMlTATbjUE5MXEGLvg_VbJDUGsGR2ZZZyB0u4gcgA&oe=6899F7B6";"https://www.instagram.com/p/DKdOI3Lt42b/";"#NiUnaMenos también es en los barrios populares.

Sin espacios seguros, sin calles iluminadas y sin acceso a la vivienda, la violencia de género se profundiza.

Hoy y todos los días, soñamos y accionamos por ciudades libres de violencias, donde ser mujer no sea sinónimo de riesgo en ningún barrio.

#3J #DerechoALaCiudad #TECHO

Fuente: Informe TECHO “Percepciones sobre la violencia en barrios populares” (2021)";2025-06-03 20:10;"18265";;"9488";;"506";"15";"3";"49";573;"6.04";;;
