Id;URL;image;title;date;Views (organic);Views (Paid);Reach (Organic);Reach (Paid);Likes (Organic);Saved (Organic);Comments (Organic);Shares (Organic);Interactions (Organic);Interactions (Paid);Engagement (Organic);Posts clicks (Paid);Spend
"3686782338655135702_4362698656";"https://www.instagram.com/reel/DMqFQDruSfW/";"https://scontent-lhr8-1.cdninstagram.com/v/t51.71878-15/523934929_783176760814334_8251947091972885167_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_ohc=Jm31UAjVZagQ7kNvwENtsvT&_nc_oc=AdlkT-3_yXYSNfZAea91fNbv5dFEr3j9PW3tRy60ZXrc1Gfc8JdXvsUyTUEa3SaN3Dg&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfWOR8IkTaW3cJ0DGCSnI89uqEpK5pZvwUkeK2-x0phqhw&oe=689A0B4E";"Reconstruir tras la emergencia: construcción en Bahía Blanca

En marzo, una gran inundación golpeó Bahía Blanca y afectó especialmente a muchas familias en barrios populares, que perdieron todo.

En julio, construimos 7 viviendas con familias que vivían en condiciones críticas: 3 viviendas de emergencia con voluntariado movilizado de @comunidadtecho_neuquenrionegro y 4 progresivas y accesibles junto a la @fabricasocialtecho , gracias al apoyo de @afa.oficial y la campaña #UnGolPorUnTecho.

La asignación y el acompañamiento post construcción estuvo a cargo del @municipiobahia, que lidera el proceso social y acompaña a las familias beneficiarias.

Este es solo el primer paso para reconstruir en comunidad.

🎥 Mirá el video completo con testimonios en nuestro canal de YouTube (link en bio).

Sumate a construir un futuro digno 👉 argentina.techo.org

#EmergenciaHabitacional #ReconstruirEnComunidad #BahíaBlanca #CambioClimático #UnGolPorUnTecho #ViviendaDigna #TECHO";2025-07-28 13:05;"8731";;"4816";;"256";"3";"10";"29";298;;"6.19";;
"3668652043859127514_4362698656";"https://www.instagram.com/reel/DLpq5i2u-za/";"https://scontent-lhr8-1.cdninstagram.com/v/t51.82787-15/503639955_18361066348146657_1584556736267242025_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=1-7&_nc_sid=18de74&_nc_ohc=6_vlRhZ_1Y8Q7kNvwELvXQW&_nc_oc=Adn1zjVn7o0Dt12L1rmp4MXaWmkoCipdz2oXUVaOsI9LFJuZ4VTSGecTmCGedywfWOI&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfXjXzyiAlYpIJ8-OOW1LuKLGr_JrpnfDS0_dsZ68pxAjg&oe=689A16D4";"¿Qué es techo?
TECHO es protección.
TECHO es una comunidad.
TECHO es amor, comienzo y futuro.

Porque un techo no es solo una parte física de una casa. Es dignidad, salud, identidad y oportunidad.

Este mes celebramos un hito que nos emociona y nos impulsa:
¡Alcanzaremos la cifra de 150.000 viviendas construidas en Latinoamérica y el Caribe! 150 mil hogares donde niños y niñas dejaron de dormir con miedo y de estudiar bajo goteras.

Y este es solo el comienzo.
Porqué techo no es solo parte de una casa.
Es todo lo que empieza cuando uno deja de vivir en un piso de tierra.

🌎 Sumate a lo que viene → comentá ""Voluntariado"" y te contactamos! 

#Vivienda150mil  #Queestecho #NadieViveEnUnPisoDeTierra";2025-07-03 12:45;"8105";;"5222";;"267";"11";"2";"25";305;;"5.84";;
"3667347057824420024_4362698656";"https://www.instagram.com/reel/DLlCLf5stC4/";"https://scontent-lhr8-2.cdninstagram.com/v/t51.82787-15/514551530_18360860647146657_8464647998012329817_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ccb=1-7&_nc_sid=18de74&_nc_ohc=JWbUOjWWhB8Q7kNvwHGUkCo&_nc_oc=AdmnsbqFe_rlZ_RzQ4Wta2K35Yg3xbY6Hrt2NKbspJ1o6UKs5sX4LhaBc2gLkM2uz4c&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfXzGKLmFeXkquXAUENi4tujXVp1mcMIldFPHZquJb0T-g&oe=689A0433";"Armamos una playlist con música que nos mueve a construir una realidad mejor. Sumate como voluntario/a y transformá la realidad vos también💙";2025-07-01 17:31;"10981";;"6341";;"394";"23";"21";"85";523;;"8.25";;
"3665203191211855826_4362698656";"https://www.instagram.com/reel/DLdauIhz4_S/";"https://scontent-lhr8-2.cdninstagram.com/v/t51.75761-15/513960000_18360531658146657_6984128483076378383_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ccb=1-7&_nc_sid=18de74&_nc_ohc=F6lIxq0LP1YQ7kNvwFNxn8n&_nc_oc=AdkoB5OFLVvBVMdPE44B-WblkhvhObAAxU8xOL7KTIo_8IkKG_wCPd6ViLLKzosNc9Q&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfUaR-lcT48YQQS3k9bSeygS3GHkkVibx_64Y-OejeyNdw&oe=6899EC1C";"La música nos mueve a construir otra realidad ⚒️🏡 Sumate como voluntario/a en el link de nuestro perfil! Te esperamos 💙

#LaRealidadEstáCantada #TECHO #Voluntariado";2025-06-28 18:31;"16281";;"9228";;"465";"23";"26";"36";550;;"5.96";;
"3662259552356807075_4362698656";"https://www.instagram.com/reel/DLS9ajNgjGj/";"https://scontent-lhr8-2.cdninstagram.com/v/t51.75761-15/504475226_18360077110146657_8198250072527735664_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ccb=1-7&_nc_sid=18de74&_nc_ohc=mjFRDiYOatEQ7kNvwHx8OOR&_nc_oc=Adlxn64MBEWQuXbdew3xT7YY84xItb1t0ipM-XUEytVqerjOqJ-VLI4IP-pB0fLQ5Oc&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfUZC5V20rBHD7eCHOqohrBkTZTb3j4KzSgtMkqp2rR0rA&oe=689A04AD";"La música no solo se escucha. Se siente, nos atraviesa, nos une y transforma la realidad.
Vos también podes sumarte a construir la Argentina que queremos. Comentá ""Voluntariado"" y te mandamos el link de inscripción!

La realidad está cantada. Escuchala y activá.

#LaRealidadEstáCantada #TECHO #Voluntariado";2025-06-24 17:03;"19444";;"10537";;"439";"29";"11";"43";522;;"4.95";;
"3648498248849175521_4362698656";"https://www.instagram.com/reel/DKiEdOmSjPh/";"https://scontent-lhr8-1.cdninstagram.com/v/t51.75761-15/504120758_18357844291146657_4331116471183745054_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ccb=1-7&_nc_sid=18de74&_nc_ohc=kTpv4BQ6E6cQ7kNvwEAWzzt&_nc_oc=AdmVlEPQUseJ4PlE9Ger61NIiMFGeDkTSfTbq9seo5bEx2ASzbUnzQmDjgrV0cFz6SU&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfVCeLARjnKNHOKg9bakukViO70kiS46NGonPBbkoGeV2Q&oe=689A2100";"Dejá tu predicción del partido y asociate a TECHO ⚽🇦🇷😎 #ARGvsCHI";2025-06-05 17:22;"7194";;"4827";;"149";"2";"2";"9";162;;"3.36";;
"3644772382217268429_4362698656";"https://www.instagram.com/reel/DKU1Su5NuzN/";"https://scontent-lhr8-1.cdninstagram.com/v/t51.75761-15/502736460_18357223261146657_7308015500535868093_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=1-7&_nc_sid=18de74&_nc_ohc=K_UtgBbUlJkQ7kNvwHqYrMQ&_nc_oc=AdmDc_RsULaXGM3VXLP_AWNb_e4r59CLO_beAUzNzkb_DKHSCOXqJwzZQPzYzdRMUlY&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfWQ4s7KtJtvaFi9GAexMGT4eVVi3g-KABmyUX_ZNUF8Yg&oe=6899FF6E";"¿Una casa así? Sí.

Cuando vivís sobre piso de tierra, una vivienda de emergencia puede ser el comienzo de todo.

5 millones de personas en Argentina viven en emergencia habitacional.

Si eso te jode, mejor hacé algo.

Vení a construir o asociate a nuestra comunidad 👉 bit.ly/sociosTECHO";2025-05-31 13:59;"159750";;"102542";;"2279";"93";"117";"851";3340;;"3.26";;
"3638340957577093399_4362698656";"https://www.instagram.com/reel/DJ9-9L8IyEX/";"https://scontent-lhr8-2.cdninstagram.com/v/t51.75761-15/500809880_18356168065146657_4436053847251919962_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ccb=1-7&_nc_sid=18de74&_nc_ohc=kjZhUEM3SYMQ7kNvwEDdXMW&_nc_oc=AdkgAMMzfvpWgSydm60oj4uh1_P1_pyXsUsBW8NnXV0ZXIW1dHuMfPPJtZWAl4QDclI&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfWA-31ma7dEAsIfGe3KM8uyOrOWpjSpbV81D1Wv0JvAPg&oe=6899EDCC";"Un equipo listo para salir a la cancha a construir una Argentina donde nadie viva en un piso de tierra 🏡

Sumate a nuestra comunidad de socios y socias desde el link en nuestra bio 🫱🏼‍🫲🏽💙";2025-05-22 17:01;"8386";;"5764";;"213";"6";;"8";227;;"3.94";;
"3637596963437330509_4362698656";"https://www.instagram.com/reel/DJ7VypZuMBN/";"https://scontent-lhr8-2.cdninstagram.com/v/t51.75761-15/500205445_18355965913146657_1852836546286816869_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ccb=1-7&_nc_sid=18de74&_nc_ohc=bpoEOhmYJKEQ7kNvwF7Nj1T&_nc_oc=Adlj-hARypHpDyYLoyNAL4xUH4LLEQm7v0WPxnXk496-fFvK6ExcDMBcMzllO-Pn9Zc&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfVjuKG90jHLxOQmVi16kzd2bzvwj9V-bu3Q9Nj7FP4S8w&oe=6899F092";"¿Por qué hablamos del FISU? 👷 Porque fue una herramienta concreta para transformar barrios populares, nuestro principal foco de trabajo #notibarrios";2025-05-21 16:23;"18507";;"11046";;"352";"9";"7";"52";420;;"3.8";;
"3632547811661993038_4362698656";"https://www.instagram.com/reel/DJpZv0XvFRO/";"https://scontent-lhr8-2.cdninstagram.com/v/t51.75761-15/497566985_18355156657146657_7289888850291899900_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=U4wplknneqgQ7kNvwE0afnA&_nc_oc=AdkbynRQhWl0bCo2BfS1TnMfhyYc4QUQt-6gDWpJBsGHJ5-_hkv3paE1NmBDwEQjOak&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfXpgcKYZOkM2y2lnSDlKkeLVwwpiQBW-ttVRQ0nEZ512w&oe=6899EF1F";"Con $10.000 podes asociarte a TECHO y cambiar la realidad de una familia 💙";2025-05-14 17:11;"19279";;"12133";;"639";"12";;"31";682;;"5.62";;
"3628857588470212490_4362698656";"https://www.instagram.com/reel/DJcSsANP2eK/";"https://scontent-lhr8-1.cdninstagram.com/v/t51.75761-15/496008654_18354567109146657_555047424872153212_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ccb=1-7&_nc_sid=18de74&_nc_ohc=BMLMjRAy_ecQ7kNvwGJh5Hq&_nc_oc=Adle4d4hKdWCCPt4YjAYe2hXONC6UhKe96uMeFULMGTyCIYmy411qx9lQRh4zBZDO-E&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfVIzQkl_SLOdPuduJvIvB9IETQ2tasDN-XLlHuAuVFKcg&oe=6899FFED";"Detrás de cada uno de nosotros hay una historia para contar 💙

Gracias a Manu y a su mamá por compartir sus ""buenísimos"", por su tiempo y por poner el cuerpo a esta causa.

Si vos también querés sumarte podes hacerlo desde nuestra plataforma de actividades o donando mensualmente como socio/a (link en bio) 🫱🏼‍🫲🏽";2025-05-09 14:59;"12544";;"8941";;"434";"10";"22";"52";518;;"5.79";;
"3626733767236497664_4362698656";"https://www.instagram.com/reel/DJUvyVjC7EA/";"https://scontent-lhr8-2.cdninstagram.com/v/t51.75761-15/496066303_18354206872146657_815988994329964754_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ccb=1-7&_nc_sid=18de74&_nc_ohc=PaFli9nPJ6kQ7kNvwFnnGF_&_nc_oc=Adm7A0BxXXQoHFx4h0l1SqzN4yxW75oIC0hQvx7vaWIp7Ziz781DKQnhjsmuI2QD5W0&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfVwMuPCkQv6G51DS8AucRwLuaH4jAeVHBCE5fH0GopqyQ&oe=6899FA91";"Si estás en Buenos Aires ya tenés listo tu plan para este finde. Nos vemos ahí? 💙 #buenosairesrun";2025-05-06 16:40;"14308";;"9653";;"214";"7";"4";"18";243;;"2.52";;
"3623860512987103393_4362698656";"https://www.instagram.com/reel/DJKie_AKUCh/";"https://scontent-lhr8-2.cdninstagram.com/v/t51.71878-15/503814990_4186162871620610_7034956870731961092_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=7vuI9lXQOy4Q7kNvwGWAMDO&_nc_oc=AdmsoMUOCduOBGwfazxLuijNg7ZEi9FVu8HCGBjb2dYYY9irhoilQ4686YjnBmMWb5c&_nc_zt=23&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfWXIF4E37DqUjQvm46CxeBpIrZWd3LbUsQrrfQ2abH-Vg&oe=689A188A";"Queremos más Eduardos 😎

💙 Somos TECHO gracias a todos los que nos apoyan, gracias a nuestra comunidad de socios y socias de la cuál vos también podes ser parte.

➡️ Si ya sos socio/a, comentanos porque elegís ser parte de esta gran comunidad para que más personas se sumen!";2025-05-02 17:31;"9065";;"4588";;"208";"3";"3";"2";216;;"4.71";;
"3618730700661760013_4362698656";"https://www.instagram.com/reel/DI4UGY-vqAN/";"https://scontent-lhr8-1.cdninstagram.com/v/t51.71878-15/501919130_1851443315633531_4366092627658661535_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=1-7&_nc_sid=18de74&_nc_ohc=MdIqVhL4NLAQ7kNvwF-NkSg&_nc_oc=AdmYTd7FqAKMgdu3N83HWDQictsS2jm_ZQvmjijsh8AOCIskEMs-9JrA6kUYqAXuZQY&_nc_zt=23&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfX_7bYEr6WxRVpD0l8miLQl-4VaLfSxgawgXPaZsrf8bA&oe=689A1F5D";"Cristian nunca imaginó que algo así podía pasarle.
Hasta que un grupo de personas que no conocía llegó a su barrio con un sueño en común: construir un hogar digno junto a él y su familia. 🏡

💙 Con esfuerzo compartido, manos solidarias y muchas emociones en el medio, hoy sus hijas tienen un techo seguro y un futuro distinto por delante.

Su historia es una de las tantas que queremos multiplicar y para hacerlo necesitamos tu aporte. Podes sumarte con tu donación mensual a nuestra comunidad de socios y socias (link en bio) 🫱🏼‍🫲🏽

🎥 @gonnza_d";2025-04-25 15:39;"23626";;"15147";;"479";"18";"12";"70";579;;"3.82";;
"3616616567559911113_4362698656";"https://www.instagram.com/reel/DIwzZtGM3bJ/";"https://scontent-lhr6-2.cdninstagram.com/v/t51.75761-15/491438200_18352624753146657_890128952680839644_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ccb=1-7&_nc_sid=18de74&_nc_ohc=oP_aeG_vpL0Q7kNvwFKk02K&_nc_oc=AdkCK3HWn3J1cqqt-xAehYMA9MsM1eo7YuWuP-SqJZGwM3Q50qvvzxz6QUc-9_yO8Uk&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=0U-FEjJGZZf6nFWax0kRPA&oh=00_AfWxT6mDaPEs48B1QFVWvIJ_1vQipUWO9L-O6u9FEc8r6Q&oe=6899EA32";"Desafío activado💡 Queremos lograr 1.100 socios y socias para construir 1.000 viviendas este 2025 ✅

Asociate a TECHO y construí con nosotros todos los días 🏡";2025-04-22 17:39;"20978";;"12745";;"493";"20";"4";"70";587;;"4.61";;
